Project,Client,Description,Duration
SOS2223-20,,#10 Individual tab on Sheets,00:15:13
SOS2223-20,,#11 Index Creation,02:59:49
SOS2223-20,,#16 arreglar .gitignore,00:25:21
SOS2223-20,,#17 Montar node con npm,00:16:10
SOS2223-20,,#18 Crear folder /samples,00:15:11
SOS2223-20,,#19 Crear servidor para el cool,02:24:50
SOS2223-20,,#23 Replicar algoritmo para acceder con la ruta /samples/lmp,01:44:49
SOS2223-20,,#27 Creación del GET en el index.js,00:33:29
SOS2223-20,,#28 Modularizar datos,00:18:33
SOS2223-20,,#29 API personal,03:31:08
SOS2223-20,,"#30 Metodos POST,DELETE,PUT...",08:58:56
SOS2223-20,,#39 Remodelar API,02:09:03
SOS2223-20,,#40 Borrado de archivos obsoletos,00:16:13
SOS2223-20,,#41 Ruta Docs POSTMAN,00:52:15
SOS2223-20,,#45 Adecuar para que devuelva array u objeto,01:30:00
SOS2223-20,,#46 Cambiar colección de Postman para el Test,01:41:00
SOS2223-20,,#47 No mostrar ni pedir el _id,00:30:11
SOS2223-20,,#8 Clone Respository and git commands,00:23:52
SOS2223-20,,#9 Postman Account,00:16:17
SOS2223-20,,API Visualización · Issue #64 · gti-sos/sos2223-20,06:32:41
SOS2223-20,,Archivo samples/CGM,01:13:04
SOS2223-20,,Añadir ruta index,00:40:52
SOS2223-20,,Busqueda de elementos concretos #58,05:34:55
SOS2223-20,,Cada persona debe tener un vídeo comentando todas las funcionalidades y aspectos del entregable D03  Debe tener menos de 5 minutos,02:45:00
SOS2223-20,,Cambio APIS EXTERNAS · Issue #69 · gti-sos/sos2223-20,04:51:32
SOS2223-20,,Cambio Backend a v3 · Issue #70 · gti-sos/sos2223-20,00:48:17
SOS2223-20,,Clonar y sincronizar repositorios,00:16:49
SOS2223-20,,Completar el registro información,00:30:03
SOS2223-20,,Completar registro información repositorio común #36,02:15:00
SOS2223-20,,"Continuar metodos GET,POST,DELETE en frontend... #53",06:17:14
SOS2223-20,,"Continuar metodos GET,POST,DELETE en frontend... Pt.2",03:15:34
SOS2223-20,,Convertir la App a OAuth · Issue #63 · gti-sos/sos2223-20,03:00:28
SOS2223-20,,Crear archivo index,00:57:46
SOS2223-20,,Crear Carpeta y Esqueleto del FrontEnd para el grupo #51,01:33:39
SOS2223-20,,Dataset Selection,04:30:00
SOS2223-20,,Desarrollo llamadas a PostMan #35,00:45:00
SOS2223-20,,"El frontend debe recargar de manera automatizada los datos que se muestran en caso de ser necesario, por ejemplo (tal como se vio en el L10), al crear un nuevo recurso desde la tabla, se debe actualizar los recursos que se muestran para incluir el recurso recién creado. NO será válido que el usuario tenga que pulsar un botón para recargar manualmente la página.",00:30:00
SOS2223-20,,Eliminar bug · Issue #67 · gti-sos/sos2223-20,01:20:40
SOS2223-20,,Establecer recuento de todos los datos en integrarlos en highcharts · Issue #65 · gti-sos/sos2223-20,05:00:24
SOS2223-20,,Front-end Svelte que permita todas las funcionalidades básicas de gestión de la información realizando peticiones a la API REST: #56 Open salinosaso opened this issue now · 0 comments,02:15:00
SOS2223-20,,Generación de recursos de Get LoadInitialData #33,02:00:00
